Deck_Archetype,Deck_Name,Color_Identity,Meta_Share
Combo,Izzet Cauldron,Izzet,22.70%
Midrange,Dimir Midrange,Dimir,15.53%
Aggro,Mono-Red Aggro,Mono-Red,5.61%
Control,Azorius Control,Azorius,5.46%
Control,Rogue,Dimir,3.93%
Control,Esper Pixie,Esper,2.48%
Aggro,Gruul Delirium,Gruul,2.25%
Midrange,Golgari Midrange,Golgari,2.12%
Aggro,Mono Red Dragons,Mono,2.07%
Aggro,Gruul Aggro,Gruul,1.79%
Combo,Golgari Roots,Golgari,1.74%
Control,Mono Black Demons,Mono,1.60%
Aggro,Mono Green Landfall,Mono,1.60%
Aggro,Mono White Tokens,Mono,1.54%
Combo,Naya Yuna,Naya,1.38%
Control,Jeskai Control,Jeskai,1.36%
Combo,Temur Battlecrier,Temur,1.28%
Aggro,Boros Burn,Boros,1.23%
Control,Orzhov Sacrifice,Orzhov,1.20%
Aggro,Simic Aggro,Simic,1.06%